subj,group,mIKI
1,1,313.83266846963164
2,1,499.35013154717734
3,1,184.62921310333724
4,1,321.14895643750106
5,1,461.4040764015155
6,1,300.96151365177354
7,1,251.73778461836744
8,1,237.9001872075012
9,1,384.4671458362073
10,1,373.9658462778654
11,1,468.4888471662623
12,1,292.3542757632225
13,1,276.8650353086604
14,1,328.21616130380573
15,1,219.74769128725694
16,1,230.38108260699437
18,1,470.5650986892297
19,1,180.6341974670375
20,1,199.8369088228941
21,1,260.15014618239184
22,1,233.10782698440337
23,1,370.49724138448323
24,1,345.6031512849362
25,1,206.71527303580254
26,1,565.7724919034872
27,1,429.0360887104284
28,1,224.49117446602688
29,1,398.9864442995176
30,1,297.8984126708672
31,1,266.11616110246314
32,1,308.9051086019772
33,1,340.808905229993
34,1,348.3302973628632
35,1,312.2571097276677
36,1,218.03877541758027
37,1,280.67772175548765
38,0,354.13555284261736
39,0,451.3864700974107
40,0,450.1193319705821
41,0,698.1139096299918
42,0,460.4260230486789
43,0,414.21245468174993
44,0,487.07719284289675
45,0,444.3790244654737
46,0,509.91138861318035
47,0,383.1584194861666
48,0,534.420964167084
49,0,409.6246121085763
50,0,358.1098958301874
51,0,363.9240735606129
52,0,398.0794566838768
53,0,355.8556853478642
54,0,338.19547619637626
55,0,385.33034361879606
56,0,369.79176686565364
57,0,750.6057532233593
58,0,400.0093470482884
59,0,278.4167249528138
60,0,412.57122589169273
61,0,600.2587904688568
62,0,518.2963884662618
63,0,223.34815278775898
64,0,746.9652557367929
65,0,357.7474089179331
66,0,378.6721344972264
67,0,674.8520522130673
68,0,401.318715796758
69,0,383.19089031440706
70,0,639.2751520471746
71,0,468.5042627799119
72,0,443.9051879313592
73,0,393.5660215152347
74,2,529.745110498326
75,2,587.094331092279
76,2,518.6112898390534
77,2,408.481034775455
78,2,692.1328617733054
79,2,475.3839558179168
80,2,554.6382466883658
81,2,540.0413957423278
82,2,458.69576123467874
83,2,370.7634542115116
84,2,727.6891264641479
85,2,438.8858111353633
86,2,480.9246261736694
87,2,495.12772045120903
88,2,613.0670026174331
89,2,559.5565912599378
90,2,624.2271042814111
91,2,533.6914697600366
92,2,889.4454620942158
93,2,459.56242823572154
